canon_p_smi,experimental_Tg,normalized_monomer_phi,normalized_backbone_phi
*O[Si](*)(CC)CC,130,0.4799059457873202,0.2458593999982235
*O[Si](*)(C)C,152,0.3687890999973353,0.3687890999973353
*C/C=C\C*,171,0.8761100000000002,0.8761100000000002
*C[Si](*)(C)C,173,0.3787593579310082,0.3787593579310082
*O[Si](*)(C)c1ccccc1,187,0.23649689800219992,0.16390626666548236
*CC(COCCCCCC)O*,188,0.8271283709579013,0.22725290322580644
*CCCCO*,190,0.9842514285714289,0.9842514285714289
*N[Si](*)(C)C,191,0.3687890999973353,0.3687890999973353
*CC=C(C*)CCCC,192,0.7343745652173916,0.3834999751119962
*CC(*)OCCCCCCCC,194,0.8336900343803356,0.1484403305785122
*CC(COCCCC)O*,194,0.7943028934506354,0.27775354838709676
*CC*,195,1.0,1.0
*CCCO*,195,0.9804266666666666,0.9804266666666666
*CC=C(C*)CCC,196,0.7033722570854355,0.43828568584228134
*CC=C(C*)CC,197,0.6642942878338282,0.5113333001493282
*CC(*)OCCCCCCCCCC,197,0.8565817714663562,0.12560335664335648
*CC(*)(C)C,199,0.326530612244898,0.326530612244898
*O[Si](*)(C)CCC(F)(F)F,199,0.3563139366384353,0.16390626666548236
*CCC[Si](*)(C)C,203,0.4881351350276563,0.4881351350276563
*CC=C(C)C*,203,0.6135999601791939,0.6135999601791939
*CCCCCCCCO*,203,0.9911709090909091,0.9911709090909091
*CCCCCCO*,204,0.9886825396825386,0.9886825396825386
*CCCCOC(=O)CCCCC(=O)O*,205,0.6410854316795456,0.6410854316795456
*CC(C)O*,206,0.6249454838709677,0.6249454838709677
*CCO*,206,0.9741599999999994,0.9741599999999994
*CC(*)OCC(CC)CCCC,207,0.7099977400895097,0.1484403305785122
*CC(*)OCCCCC,207,0.7814125892857152,0.20410545454545426
*CC(*)C(=O)OCCCCCCCC,208,0.6834806128648686,0.12980769230769232
*CC(*)OCCCCCC,209,0.8021320871364248,0.18142707070707045
*CC(COC)O*,211,0.7126487200660613,0.41663032258064514
*CC(*)C=CC,213,0.6135999601791939,0.3375
*CC(*)C(=O)OCCCCCCC,213,0.6626148157673802,0.140625
*OCCCCCC(*)=O,213,0.6787714384171076,0.6787714384171076
*CC(*)C(=O)OCCCCCCCCC,215,0.7019433717581925,0.12053571428571429
*CC(*)C(=O)OCCCCCC,216,0.6388548855742238,0.1534090909090909
*CCCCCCCCCCOC(=O)CCCCC(=O)O*,217,0.7337636872297313,0.7337636872297313
*CC(*)(C)C(=O)OCCCCCCCCCCCC,218,0.6237292918403724,0.07256235827664399
*CO*,218,0.9620000000000002,0.9620000000000002
*CC(*)C(=O)OCCCC,219,0.5799449727317815,0.1875
*CC(*)CCCCC,220,0.765625,0.24107142857142858
*CCC(C)CCC(=O)O*,220,0.5799449727317815,0.5799449727317815
*CC=C(C*)C(C)C,221,0.551625444817895,0.43828568584228134
*CC(*)OCCCC,221,0.7558736539842058,0.2332633766233763
*CC(*)CCC,223,0.6944444444444444,0.3375
*CC(*)CCCC,223,0.7346938775510204,0.28125
*CC=C(Cl)C*,225,0.7041014893785041,0.7041014893785041
*CC(C)S*,226,0.7795952102803738,0.7795952102803738
*CC(*)CC,228,0.6399999999999998,0.421875
