polymer,monomer_phi,homo_lumo_gap,chi_water,num_fluorine,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32,z_33,z_34,z_35,z_36,z_37,z_38,z_39,z_40,z_41,z_42,z_43,z_44,z_45,z_46,z_47,z_48,z_49,z_50,z_51,z_52,z_53,z_54,z_55,z_56,z_57,z_58,z_59,z_60,z_61,z_62,z_63,z_64,z_65,z_66,z_67,z_68,z_69,z_70,z_71,z_72,z_73,z_74,z_75,z_76,z_77,z_78,z_79,z_80,z_81,z_82,z_83,z_84,z_85,z_86,z_87,z_88,z_89,z_90,z_91,z_92,z_93,z_94,z_95,z_96,z_97,z_98,z_99,z_100,z_101,z_102,z_103,z_104
*OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)c1ccc(C(*)=O)cc1,-0.2383032590150833,2.7959909439086914,1.3787685632705688,-14.0,-0.052377507,0.0741604,-0.05406347,1.7256026,-0.072566256,0.24259925,-0.0073984102,-0.022211451,0.027280891,-0.08838843,-1.3863205,-0.03539853,0.79431385,0.018103112,-0.10794993,-0.096817866,0.050637018,0.4962039,1.0579673,-0.01663611,0.023906263,-0.03916514,-0.0138208335,-0.11672488,-0.021194171,-0.03398321,-1.4209328,0.26039186,2.0474198,-0.04505638,-0.08693902,-0.004148632,-1.771588,-0.01626771,0.038500838,0.15152928,0.1084599,-0.048309464,-1.1153599,0.28952333,-0.040413067,0.12805222,-0.0026604717,-0.087558255,-0.004921882,0.5437239,-0.06273942,-0.8882753,-0.04963712,-1.5750352,-0.8273429,-0.012654316,0.35988364,0.8332584,-0.024509707,-3.6842022,-1.9332331,-0.19842166,-2.4676445,-0.035276424,-0.21679112,-0.03825033,-3.1150353,1.4260597,0.57595235,-0.033016,0.05084649,-0.5024487,-0.3121366,-0.031742413,0.15148334,-0.0739687,0.80296564,-1.0221852,0.111753926,0.009700084,0.9315979,-0.066100225,1.1866384,-0.010553729,-0.027253417,-1.7789733,-0.100261286,-0.017561149,0.034089163,-0.5060674,0.035371214,-0.2047656,0.25010124,-0.14092247,-0.005292035,-0.25299308,-0.014402317,-0.04568006,-0.014189722,-0.014227546,0.07786792,0.039164282,0.075442,-0.062902436,0.016015494,-0.70852405,-0.062107414,-0.03964102
*OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=C1C=CC(Cc2ccc(C(*)=O)cc2)=C1,-0.2437184453010559,2.7287631034851074,1.3530553579330444,-12.0,-0.06355914,-0.5226605,-0.070582286,1.657641,-0.07089871,0.7122469,-0.013545118,-0.034832023,0.030798908,-0.10211153,-1.943789,-0.027644422,0.42531624,0.029372308,-0.04355574,-0.0978649,0.05944538,0.016892552,1.7130386,-0.022541996,0.01207985,-0.041691344,-0.027952373,-0.09848717,-0.023005534,-0.03236202,-1.7693489,0.096801765,1.8471643,-0.04268553,-0.07450651,-0.008298538,-1.4851596,-0.033617422,0.047741905,0.11375673,0.09755348,-0.037841294,-0.9061628,0.2836647,-0.028245533,0.7858139,-0.019832525,-0.08206322,0.0061583584,0.16818391,-0.038915556,-0.5162823,-0.037811708,-1.2766682,-0.6349298,-0.021218747,0.67191017,1.4545214,-0.018569615,-3.3872685,-2.040083,-0.38560927,-3.293282,-0.06130954,-0.17575787,-0.035935644,-3.178387,1.5936742,0.4488502,-0.03814549,-0.4461629,0.22210136,-0.1701243,-0.033530608,0.61521155,-0.082871765,0.91260004,-0.9661811,0.611968,0.0018232391,0.793501,-0.081937574,1.267947,-0.008796113,-0.04547183,-1.8727657,-0.09838864,-0.007091072,0.03349308,-0.69572115,0.03313286,0.16089521,0.38620862,-0.1458118,-0.014925014,-0.28916785,-0.030035572,-0.04045428,-0.010186821,-0.01448317,0.07648436,0.023125466,0.08486263,-0.06519294,0.033649117,-0.93540233,-0.05586831,-0.034093708
*OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=CC=C(C=CC(*)=O)CCC(=O)OCC,-0.30966728925704956,2.746382236480713,1.3308594226837158,-12.0,-0.048340514,0.09988159,-0.05677648,1.645965,-0.07196285,0.40750673,0.008075967,-0.017358933,0.034162797,-0.039310094,-1.6717889,-0.036194146,0.53535694,0.016818479,-0.15093282,-0.09259883,0.06367851,-0.067789644,1.0771855,-0.025433723,0.014098305,-0.043535,-0.0071403785,-0.106379695,-0.024119282,-0.04820306,-1.9418125,0.76144075,1.857008,-0.050349515,-0.08623029,0.0021138543,-1.6547022,-0.018279217,0.047674436,-0.009931581,0.08535684,-0.03143891,-0.32406643,0.21992101,-0.03464061,0.23602144,-0.0017704092,-0.09953386,-0.009972135,0.7933403,-0.04965724,-1.0942329,-0.031287804,-1.1238922,-0.85303754,-0.028889207,1.0337604,0.8159358,-0.031824067,-3.6478465,-1.9507197,0.045636732,-3.267493,-0.037681267,-0.67877334,-0.05459761,-3.3949301,1.0634286,0.8360281,-0.034123335,-0.5811743,-0.068395846,-0.27922496,-0.01705608,0.80602056,-0.07569863,0.8068713,-1.3628623,0.6454637,0.019047774,0.67136794,-0.08915179,0.8475349,-0.010992331,-0.047835764,-1.9062028,-0.109761916,0.0012504795,0.023488332,-0.8874583,0.026694775,-0.55746394,-0.109995,-0.14178951,-0.009933318,-0.22997129,-0.01583565,-0.032360055,-0.03013763,-0.021072745,0.066187225,0.024395656,0.07560184,-0.05471552,0.034257036,-0.62426245,-0.0399257,-0.03353225
*OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=CC=C(C=C)Cc1ccc(C(*)=O)cc1,-0.2573801577091217,2.6480839252471924,1.3664140701293945,-14.0,-0.05329854,-0.31389758,-0.055826902,1.3998191,-0.07010335,0.58770293,-0.012868365,-0.014457811,0.019031608,-0.07825198,-1.5087407,-0.04673426,0.5732788,0.026329441,-0.093966186,-0.09675193,0.050470885,0.44756758,1.3756144,-0.0089253355,0.020739917,-0.040574737,-0.0050165565,-0.098168336,-0.034999367,-0.038101017,-1.9968971,0.48877314,2.442367,-0.04355084,-0.07685746,-0.0020469718,-1.5206902,-0.030514054,0.039962795,0.042201083,0.10440613,-0.04024144,-0.837704,0.7311551,-0.02651468,0.20131907,-0.0177383,-0.08931667,-0.0091023045,0.21140254,-0.039700046,-0.96003145,-0.03601306,-1.132662,-0.91318476,-0.010086799,0.7723229,1.2540219,-0.026884263,-3.568598,-1.8352903,-0.3940578,-3.1883414,-0.05297776,-0.34426638,-0.053201146,-3.5223799,1.1728936,0.36323807,-0.030906629,-0.28933835,-0.115986526,-0.26599318,-0.03593152,0.4958922,-0.06092597,0.50471157,-1.2093273,0.8166168,0.020459611,0.67054224,-0.06736867,1.0810792,-0.021672836,-0.03751822,-1.6582948,-0.10448125,-0.021593139,0.035082422,-1.0432094,0.038976673,-0.19581631,0.15058975,-0.12913385,-0.0059451396,-0.41129446,-0.027248688,-0.04277614,-0.017977191,-0.027819743,0.05861538,0.041262433,0.072250344,-0.078366764,0.032057412,-1.1787086,-0.04460232,-0.046784647
*OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)c1ccc(C(*)=O)cc1CCC(=O)OCC,-0.2750833034515381,2.7385671138763428,1.3481833934783936,-12.0,-0.052181914,0.07154226,-0.07111296,1.0003353,-0.08734552,0.22642004,-0.002838981,-0.00920788,0.036957253,-0.14109416,-1.7534449,-0.046834756,0.6732986,0.026013901,-0.06127961,-0.08922071,0.045397818,0.17252417,1.6237658,-0.02887206,0.0068687033,-0.039624527,-0.009308668,-0.10200109,-0.044656117,-0.03628997,-1.6770145,0.47722355,2.4427276,-0.049971532,-0.0814704,0.0059747077,-1.8419579,-0.03195077,0.043937713,0.42925492,0.06248851,-0.046220083,-0.29560572,0.45629394,-0.032173164,0.44373053,0.0004292498,-0.096532285,0.00014890243,1.0637527,-0.054038715,-0.97599113,-0.052602444,-1.6527458,-0.2267881,-0.014223962,0.51620257,1.040252,-0.02085971,-3.9982164,-2.123623,-0.41333583,-2.5742567,-0.057886057,-0.27308437,-0.040257197,-3.3002653,1.6426531,0.6987707,-0.02476712,-0.26018348,0.07984068,-0.17832264,-0.024904689,0.32316253,-0.071940556,0.7515062,-1.2495612,0.82209116,0.011767405,0.8481427,-0.078055926,0.7662579,-0.013788671,-0.03842331,-1.7649739,-0.102842726,-0.004962538,0.039555427,-0.58558935,0.023372289,-0.32596064,-0.2996514,-0.15142094,-0.020689216,-0.38303876,-0.022253329,-0.04382936,-0.028210834,-0.023236956,0.054828357,0.036446415,0.08229645,-0.057616826,0.025391398,-0.49762893,-0.04414393,-0.051045984
*OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=C1C=CC(Cc2ccc(C(*)=O)cc2)=C1,-0.2437184453010559,2.7287631034851074,1.3530553579330444,-12.0,-0.0386441,-0.591616,-0.06349252,1.7606156,-0.06930995,0.15945457,-0.009096201,-0.024706883,0.024627157,-0.16398379,-2.223498,-0.04280623,0.5305039,0.022271756,-0.1542068,-0.10199616,0.06290031,0.43764842,1.7243788,-0.006820086,0.012551052,-0.044424407,-0.01210623,-0.093888365,-0.043221213,-0.049035374,-1.8050622,0.23128667,2.164698,-0.053923275,-0.07140021,0.015148225,-1.2449064,-0.021376777,0.018160967,0.013111087,0.07642514,-0.03551811,-0.4191455,-0.036982816,-0.039851755,0.047292244,-0.012591372,-0.10184502,-0.045079693,0.74873286,-0.05201755,-0.9646949,-0.043989327,-1.6668472,-0.59421813,-0.031968985,0.5858944,0.8498913,-0.02369855,-3.399565,-2.0634756,-0.28564963,-3.0212317,-0.040947698,-0.26092595,-0.05351708,-3.0741127,1.1733642,0.27097026,-0.017553894,-0.17480895,0.37577802,-0.0673756,-0.010879063,0.4694618,-0.07141114,0.66336685,-0.8338744,0.758325,0.0126053365,0.76036453,-0.07819576,0.74934036,-0.012952648,-0.034235585,-1.3961039,-0.108033225,-0.0074032624,0.04422753,-0.8857033,0.04514036,-0.22233675,-0.490481,-0.15207563,-0.0066567273,-0.32544467,-0.012195282,-0.05022948,-0.014703087,-0.032986507,0.06331089,0.03335227,0.07182801,-0.07699,0.024860978,-1.1575019,-0.047607247,-0.032143608
*OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=C1C=CC(Cc2ccc(C(*)=O)cc2)=C1,-0.2437184453010559,2.7287631034851074,1.3530553579330444,-12.0,-0.063729316,0.054195017,-0.05770595,1.3965317,-0.060324226,0.4777893,-0.01184877,-0.013886818,0.019030835,-0.058065638,-2.0305824,-0.035089016,0.38105595,0.0041629667,-0.15307558,-0.106047966,0.058162395,-0.0178114,1.4422698,-0.024973532,0.018990383,-0.021401845,-0.029071312,-0.10014664,-0.046947874,-0.041158985,-1.8279495,0.3168194,1.7916147,-0.05180059,-0.09085871,-0.0113983825,-1.3768944,-0.034732208,0.034499183,0.4032773,0.0636046,-0.050054446,-0.28849,-0.041336898,-0.03168802,0.7380391,-0.008242402,-0.09744524,-0.03603952,0.29861262,-0.06402565,-0.5158044,-0.041271,-1.6386294,-0.8576317,-0.025248837,0.7035105,0.7655547,-0.033783015,-3.3552833,-2.1619792,-0.5744593,-2.8979027,-0.03654165,-0.4259745,-0.045295198,-3.497376,0.8516413,0.28879735,-0.03020532,-0.5431613,-0.038066987,-0.2081315,-0.018515812,0.7610875,-0.07722185,0.9393166,-1.0289086,0.36884403,0.0011323544,0.8218222,-0.084119044,0.9183017,-0.015190925,-0.039956223,-1.177249,-0.09147309,-0.010227838,0.046634056,-0.8223321,0.044324122,-0.22440006,0.3816014,-0.12904021,-0.018452534,-0.2276731,-0.019072557,-0.035454515,-0.034248963,-0.025455069,0.05821137,0.040361047,0.07733851,-0.061598375,0.015757697,-0.8416613,-0.045796305,-0.030270346
*OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)c1ccc(Cc2ccc(C(*)=O)cc2)cc1,-0.23736250400543213,3.007481098175049,1.3663066625595093,-12.0,-0.05037953,-0.5729913,-0.06215394,1.1037896,-0.08609115,0.4812249,-0.002333437,-0.025452064,0.032666586,-0.09676888,-1.8432543,-0.045090407,0.69722754,0.026749045,-0.080802046,-0.101763465,0.059822354,0.30736107,1.7602367,-0.030678473,0.030616216,-0.020923238,-0.0051834118,-0.09528741,-0.04947137,-0.028762266,-2.1912346,0.10339008,2.1161318,-0.041915525,-0.075348526,0.012607854,-1.9379177,-0.031176012,0.01901932,0.09375009,0.0488264,-0.03993914,-1.0475563,0.06649824,-0.029683545,0.40828073,-0.001623229,-0.09979219,-0.00025287937,0.90062624,-0.059801016,-0.47607985,-0.048925683,-1.3795859,-0.5240609,-0.012247848,0.2736859,0.80244684,-0.034900144,-4.040322,-2.2343493,0.11048091,-3.0414443,-0.054167897,-0.31811467,-0.037866212,-3.464606,1.2610402,0.7270139,-0.019784981,-0.62669355,-0.16890517,-0.23642369,-0.03955942,0.94991916,-0.06471866,0.76044387,-1.112792,0.54626614,0.0033425128,0.634561,-0.08231186,0.9752317,-0.01788476,-0.02512912,-1.6832395,-0.08659692,0.004900881,0.035332095,-0.42230344,0.031140598,-0.38133296,-0.07488947,-0.13162266,-0.019904284,-0.2319634,-0.010506748,-0.04754106,-0.009210743,-0.02556037,0.05770477,0.02489823,0.067398705,-0.06983748,0.021517456,-0.88487566,-0.056423154,-0.029955793
*OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=C1C=CC(Cc2ccc(C(*)=O)cc2)=C1,-0.2437184453010559,2.7287631034851074,1.3530553579330444,-12.0,-0.043167524,0.07922574,-0.06729872,1.3468983,-0.058603875,0.5778385,0.0022154555,-0.009489453,0.026829932,-0.15790625,-2.0377772,-0.030308304,0.3077235,0.012525333,-0.14336006,-0.0809354,0.058665775,0.2924784,1.65874,-0.012203939,0.006427584,-0.026827633,-0.030589812,-0.10744746,-0.022910837,-0.037488077,-1.4890189,0.12126088,2.5461493,-0.05388377,-0.08091449,0.0125850225,-1.2863611,-0.017831795,0.03813344,-0.17359096,0.085603304,-0.031307958,-0.6060326,0.29917255,-0.045595434,0.31125525,-0.018770592,-0.08928479,-0.03627463,0.7662367,-0.046800274,-1.2099252,-0.039235897,-1.7009056,-0.46700907,-0.022771956,0.73423386,0.9777069,-0.030718444,-3.1790366,-2.0262742,0.39755103,-3.206224,-0.056027554,-0.7055582,-0.040577687,-3.150842,1.5850247,0.5361417,-0.026842827,-0.042043917,0.059316147,-0.11231449,-0.012187668,0.7131258,-0.0854978,0.97942847,-1.2301897,0.6395428,0.024060471,0.80130583,-0.0748835,0.699428,-0.022528509,-0.024990793,-1.4576555,-0.092372365,-0.019155607,0.03466944,-0.6494073,0.019554475,-0.1857329,0.13237545,-0.15302514,-0.02325651,-0.21674524,-0.018620953,-0.056185532,-0.018710967,-0.021935945,0.06854422,0.02192525,0.07523053,-0.07696312,0.031452317,-0.9810747,-0.05148063,-0.035849784
*OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=C1C=CC(Cc2ccc(C(*)=O)cc2)=C1,-0.2437184453010559,2.7287631034851074,1.3530553579330444,-12.0,-0.050945472,-0.6362314,-0.0720976,1.0640323,-0.059151426,0.60825497,-0.008626377,-0.020441592,0.017613266,-0.041207053,-2.2528827,-0.033772234,0.60909677,0.00749473,-0.10437075,-0.099225506,0.043727506,0.6066727,0.9785193,-0.009208033,0.0030148763,-0.0417072,-0.024146685,-0.101034425,-0.037323676,-0.04996814,-2.1029243,0.6560786,2.4923203,-0.03276494,-0.09353941,-0.010045656,-1.6678818,-0.016929882,0.033952694,-0.08836804,0.10517488,-0.048472915,-0.81172234,0.30149594,-0.03563734,0.45322853,-0.0030188814,-0.08326633,-0.043097716,0.41760603,-0.04451367,-0.49881372,-0.04217026,-1.6750959,-0.9564472,-0.024908207,0.3608189,1.1310407,-0.024363631,-3.531666,-2.3245056,-0.282879,-2.7680929,-0.038348626,-0.5938803,-0.04520355,-3.1071324,1.1563125,0.19851439,-0.030302526,0.0565037,-0.14740352,-0.20453018,-0.015475033,0.9111037,-0.084792756,0.70782155,-1.1810555,0.36134434,0.00624897,0.82713693,-0.06922143,0.6077554,-0.025215488,-0.026378272,-1.1720968,-0.10096176,-0.01105119,0.042960603,-0.17762892,0.03391753,-0.051895514,-0.28024375,-0.15306756,-0.02643568,-0.3329219,-0.03562547,-0.049582373,-0.029865602,-0.030587057,0.06753976,0.031561326,0.075274795,-0.061567802,0.018190568,-1.0252868,-0.055193435,-0.043634705
